market_hash_name,date,median_price,volume,median_price_change_pct,volume_change_pct,median_price_7d_avg,volume_7d_avg
Revolution Case,2023-02-10 01:00:00+00:00,13.462,79764,,,13.462,79764.0
Revolution Case,2023-02-11 01:00:00+00:00,8.041,79886,-0.40268905066112015,0.0015295120605787194,10.7515,79825.0
Revolution Case,2023-02-12 01:00:00+00:00,6.889,78300,-0.14326576296480542,-0.019853290939588875,9.464,79316.66666666667
Revolution Case,2023-02-13 01:00:00+00:00,6.96,58451,0.010306285382493785,-0.25349936143039586,8.838000000000001,74100.25
Revolution Case,2023-02-14 01:00:00+00:00,5.986,57769,-0.13994252873563218,-0.011667892764880006,8.2676,70834.0
Revolution Case,2023-02-15 01:00:00+00:00,5.549,57410,-0.07300367524223172,-0.006214405650089128,7.8145,68596.66666666667
Revolution Case,2023-02-16 01:00:00+00:00,5.544,59648,-0.0009010632546405661,0.03898275561748821,7.490142857142857,67318.28571428571
Revolution Case,2023-02-17 01:00:00+00:00,4.744,67413,-0.14430014430014426,0.13018039163090123,6.244714285714285,65553.85714285714
Revolution Case,2023-02-18 01:00:00+00:00,4.303,77269,-0.09295952782462058,0.14620325456514327,5.710714285714286,65180.0
Revolution Case,2023-02-19 01:00:00+00:00,3.502,76360,-0.1861491982337904,-0.011764096856436645,5.226857142857142,64902.857142857145
Revolution Case,2023-02-20 01:00:00+00:00,3.131,64885,-0.10593946316390634,-0.15027501309586166,4.679857142857143,65822.0
Revolution Case,2023-02-21 01:00:00+00:00,3.021,61645,-0.03513254551261569,-0.04993449949911377,4.256285714285714,66375.71428571429
Revolution Case,2023-02-22 01:00:00+00:00,3.034,61591,0.004303210857331985,-0.0008759834536459232,3.897,66973.0
Revolution Case,2023-02-23 01:00:00+00:00,3.005,63411,-0.009558338826631485,0.029549771882255493,3.5342857142857143,67510.57142857143
Revolution Case,2023-02-24 01:00:00+00:00,3.046,66744,0.013643926788685423,0.0525618583526517,3.2917142857142854,67415.0
Revolution Case,2023-02-25 01:00:00+00:00,2.902,70867,-0.04727511490479308,0.06177334292221026,3.091571428571428,66500.42857142857
Revolution Case,2023-02-26 01:00:00+00:00,2.654,75588,-0.08545830461750525,0.06661774874059856,2.970428571428571,66390.14285714286
Revolution Case,2023-02-27 01:00:00+00:00,2.595,67384,-0.022230595327807023,-0.10853574641477481,2.8938571428571427,66747.14285714286
Revolution Case,2023-02-28 01:00:00+00:00,2.657,61965,0.02389210019267818,-0.08041968419802925,2.841857142857143,66792.85714285714
Revolution Case,2023-03-01 01:00:00+00:00,2.735,60367,0.029356417011667135,-0.02578875171467765,2.799142857142857,66618.0
Revolution Case,2023-03-02 01:00:00+00:00,2.75,60819,0.005484460694698434,0.0074875345801515,2.7627142857142855,66247.71428571429
Revolution Case,2023-03-03 01:00:00+00:00,2.801,67046,0.018545454545454643,0.10238576760551799,2.7277142857142858,66290.85714285714
Revolution Case,2023-03-04 01:00:00+00:00,2.726,76394,-0.02677615137450917,0.13942666229156098,2.7025714285714284,67080.42857142857
Revolution Case,2023-03-05 01:00:00+00:00,2.632,75587,-0.03448275862068961,-0.010563656831688362,2.6994285714285717,67080.28571428571
Revolution Case,2023-03-06 01:00:00+00:00,2.52,68017,-0.042553191489361764,-0.10014949660655936,2.688714285714286,67170.71428571429
Revolution Case,2023-03-07 01:00:00+00:00,2.502,68332,-0.0071428571428572285,0.004631195142390965,2.666571428571429,68080.28571428571
Revolution Case,2023-03-08 01:00:00+00:00,2.512,65406,0.00399680255795376,-0.0428203477141017,2.634714285714286,68800.14285714286
Revolution Case,2023-03-09 01:00:00+00:00,2.597,67167,0.03383757961783429,0.026924135400421934,2.6128571428571425,69707.0
Revolution Case,2023-03-10 01:00:00+00:00,2.721,73206,0.04774740084713125,0.08991022377060154,2.6014285714285714,70587.0
Revolution Case,2023-03-11 01:00:00+00:00,2.709,79307,-0.004410143329658167,0.08334016337458672,2.599,71003.14285714286
Revolution Case,2023-03-12 01:00:00+00:00,2.629,76768,-0.029531192321890054,-0.03201482845146075,2.5985714285714288,71171.85714285714
Revolution Case,2023-03-13 01:00:00+00:00,2.527,65853,-0.03879802206162031,-0.14218163818257612,2.599571428571429,70862.71428571429
Revolution Case,2023-03-14 01:00:00+00:00,2.499,67371,-0.011080332409972304,0.023051341624527266,2.599142857142857,70725.42857142857
